csv_file_name,peak_area,RT1_center,RT2_center,RT1_start,RT2_start,RT1_end,RT2_end,m/z,sample_name,class
230830_03_Lignite_300uLDCM_100oC24h-001.csv,1414264.9500000002,7627.696,1.24,7627.696,1.272,7627.696,1.208,182,Lignite,1
230901_08_LEW85311_300uLDCM_100oC24h.csv,40385.22,9036.304,1.184,9036.304,1.216,9036.304,1.144,54,LEW85311,0
230901_06_ALH83100_300uLDCM_100oC24h.csv,41216.0,4540.672,1.672,4540.672,1.704,4544.176,1.64,54,ALH83100,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,393376.27,9285.088,1.144,9285.088,1.168,9285.088,1.12,357,Green_River_Shale_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,17127.22,9880.768,1.232,9880.768,1.248,9884.272,1.208,425,Green_River_Shale_Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,79423.84999999999,9933.328,1.488,9929.824,1.536,9936.832,1.432,425,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,52790.33,9856.24,1.52,9856.24,1.552,9859.744,1.48,394,Green_River_Shale_Soil,1
230823_02_Rio_Tinto_Soil_300uLDCM_100oC24h.csv,18318.97,9758.128,1.48,9758.128,1.504,9758.128,1.456,394,Rio_Tinto_Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,140756.0,10108.528,1.88,10108.528,1.92,10112.032,1.832,394,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,54251.86,9558.4,1.368,9558.4,1.392,9561.904,1.336,380,Green_River_Shale_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,36060.59,9940.336,1.528,9940.336,1.56,9943.84,1.496,395,Green_River_Shale_Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,226007.57,9943.84,1.544,9943.84,1.576,9947.344,1.504,395,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,15139.000000000002,3591.088,3.344,3591.088,3.36,3591.088,3.32,418,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,1557165.9200000002,7529.584,1.176,7529.584,1.2,7529.584,1.144,41,Lignite,1
230901_08_LEW85311_300uLDCM_100oC24h.csv,1105358.47,9036.304,1.184,9036.304,1.216,9036.304,1.144,55,LEW85311,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,1000290.76,7515.568,1.216,7515.568,1.24,7515.568,1.192,183,Green_River_Shale_Soil,1
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,574741.62,6341.728,1.08,6341.728,1.104,6345.232,1.048,183,Jbilet_Winselwan,0
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,286517.64,6345.232,1.4,6345.232,1.424,6348.736,1.368,183,Orgueil,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,3931689.95,6345.232,1.392,6345.232,1.424,6345.232,1.36,183,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,112316.25,7109.104,1.264,7109.104,1.28,7109.104,1.24,197,Green_River_Shale_Soil,1
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,1666875.6500000004,6485.392,1.04,6485.392,1.064,6488.896,1.016,197,Jbilet_Winselwan,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,14791780.0,7627.696,1.24,7627.696,1.272,7627.696,1.208,197,Lignite,1
230901_06_ALH83100_300uLDCM_100oC24h.csv,103685.5,4176.256,1.728,4176.256,1.76,4179.76,1.696,82,ALH83100,0
230901_08_LEW85311_300uLDCM_100oC24h.csv,253529.29,6057.904,1.552,6057.904,1.576,6057.904,1.52,168,LEW85311,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,240381.27,7515.568,1.216,7515.568,1.24,7515.568,1.192,168,Green_River_Shale_Soil,1
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,343020.54,6341.728,1.08,6341.728,1.104,6345.232,1.048,168,Jbilet_Winselwan,0
230823_02_Rio_Tinto_Soil_300uLDCM_100oC24h.csv,30483.92,9484.816,1.24,9484.816,1.264,9488.32,1.216,168,Rio_Tinto_Soil,1
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,632787.23,5760.064,2.08,5760.064,2.12,5763.568,2.04,168,Orgueil,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,1850239.28,6345.232,1.384,6345.232,1.416,6345.232,1.352,168,Lignite,1
230901_08_LEW85311_300uLDCM_100oC24h.csv,108497.56,6604.528,2.048,6604.528,2.104,6604.528,1.992,140,LEW85311,0
230901_08_LEW85311_300uLDCM_100oC24h.csv,77109.16,4743.904,1.632,4743.904,1.664,4743.904,1.592,140,LEW85311,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,104900.34,3170.608,1.416,3170.608,1.432,3174.112,1.392,140,Green_River_Shale_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,58525.53999999999,5276.512,1.064,5276.512,1.08,5276.512,1.04,140,Green_River_Shale_Soil,1
230823_02_Rio_Tinto_Soil_300uLDCM_100oC24h.csv,15533.5,9488.32,1.248,9488.32,1.264,9488.32,1.224,140,Rio_Tinto_Soil,1
230901_08_LEW85311_300uLDCM_100oC24h.csv,3950736.6200000006,5623.408,1.6,5623.408,1.632,5626.912,1.568,154,LEW85311,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,138215.42,7837.936,2.44,7837.936,2.472,7837.936,2.4,154,Green_River_Shale_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,102060.76,7904.512,1.312,7904.512,1.336,7904.512,1.288,154,Green_River_Shale_Soil,1
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,250422.3,6485.392,1.04,6485.392,1.056,6488.896,1.024,154,Jbilet_Winselwan,0
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,156471.22,6355.744,1.016,6355.744,1.032,6355.744,0.992,154,Jbilet_Winselwan,0
230823_04_Murchison_Soil_300uLDCM_100oC24h-001.csv,88226.53,6040.384,2.152,6040.384,2.168,6040.384,2.128,154,Murchison_Soil,1
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,477055.19,5181.904,1.84,5178.4,1.88,5185.408,1.8,154,Orgueil,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,701577.3699999999,7627.696,1.24,7627.696,1.272,7627.696,1.208,154,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,251632.02,8149.792,1.392,8149.792,1.416,8149.792,1.36,222,Green_River_Shale_Soil,1
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,497380.77,6488.896,1.296,6488.896,1.32,6488.896,1.264,222,Orgueil,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,34192.0,8107.744,1.992,8107.744,2.024,8107.744,1.952,234,Green_River_Shale_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,41060.0,9446.272,1.888,9446.272,1.928,9446.272,1.84,234,Green_River_Shale_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,20361.85,7785.376,1.056,7785.376,1.072,7785.376,1.032,234,Green_River_Shale_Soil,1
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,197631.99,7960.576,1.912,7960.576,1.952,7960.576,1.872,234,Orgueil,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,895638.3600000002,7957.072,1.904,7957.072,1.952,7957.072,1.856,234,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,278426.55000000005,7764.352,2.056,7764.352,2.088,7764.352,2.016,220,Green_River_Shale_Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,258881.36,7788.88,2.016,7788.88,2.048,7788.88,1.984,220,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,376604.28,7957.072,1.904,7957.072,1.944,7957.072,1.856,220,Lignite,1
230901_08_LEW85311_300uLDCM_100oC24h.csv,2366276.7500000005,7641.712,2.24,7641.712,2.288,7645.216,2.184,208,LEW85311,0
230901_07_LON94101_300uLDCM_100oC24h.csv,269864.81,4754.416,1.648,4754.416,1.68,4757.92,1.616,142,LON94101,0
230901_08_LEW85311_300uLDCM_100oC24h.csv,2226736.58,4743.904,1.632,4743.904,1.664,4743.904,1.6,142,LEW85311,0
230823_06_Jarosite_Soil_300uLDCM_100oC24h.csv,16227.48,5742.544,1.04,5742.544,1.056,5742.544,1.016,142,Jarosite_Soil,1
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,54778.75,4842.016,1.88,4842.016,1.904,4842.016,1.848,142,Murchison_Pristine,0
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,114386.96000000002,4757.92,1.84,4757.92,1.872,4761.424,1.808,142,Murchison_Pristine,0
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,561719.4000000001,4757.92,1.848,4754.416,1.888,4761.424,1.8,142,Orgueil,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,418844.98,7529.584,1.176,7529.584,1.208,7529.584,1.144,142,Lignite,1
230901_08_LEW85311_300uLDCM_100oC24h.csv,670767.97,5350.096,1.496,5350.096,1.52,5350.096,1.464,156,LEW85311,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,452492.86,5283.52,1.64,5283.52,1.664,5283.52,1.608,156,Green_River_Shale_Soil,1
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,439813.04,5350.096,1.2,5350.096,1.232,5350.096,1.168,156,Jbilet_Winselwan,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,347462.95,5353.6,1.664,5353.6,1.696,5353.6,1.624,156,Lignite,1
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,40584.0,4323.424,1.136,4323.424,1.152,4323.424,1.112,80,Murchison_Pristine,0
230901_08_LEW85311_300uLDCM_100oC24h.csv,42380.1,2991.904,1.184,2991.904,1.208,2991.904,1.16,94,LEW85311,0
230823_04_Murchison_Soil_300uLDCM_100oC24h-001.csv,217419.77,6040.384,2.136,6040.384,2.192,6043.888,2.08,94,Murchison_Soil,1
230901_08_LEW85311_300uLDCM_100oC24h.csv,193837.53,6555.472,2.36,6555.472,2.4,6555.472,2.312,181,LEW85311,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,712947.29,6611.536,1.56,6611.536,1.584,6611.536,1.536,181,Green_River_Shale_Soil,1
230823_04_Murchison_Soil_300uLDCM_100oC24h-001.csv,153845.38999999998,6587.008,1.432,6587.008,1.456,6587.008,1.408,181,Murchison_Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,924541.94,7627.696,1.24,7627.696,1.272,7627.696,1.208,181,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,890330.79,7224.736,2.296,7224.736,2.336,7224.736,2.248,195,Green_River_Shale_Soil,1
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,665000.94,6348.736,1.088,6348.736,1.112,6352.24,1.056,195,Jbilet_Winselwan,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,10773422.7,6863.824,1.016,6863.824,1.032,6867.328,0.992,43,Green_River_Shale_Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,110663.67,10550.032,1.848,10550.032,1.888,10553.536,1.8,426,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,191763.78,9484.816,1.248,9484.816,1.272,9484.816,1.216,340,Green_River_Shale_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,298029.04000000004,9071.344,1.072,9071.344,1.096,9074.848,1.048,340,Green_River_Shale_Soil,1
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,58296.0,8885.632,1.832,8885.632,1.864,8885.632,1.792,340,Murchison_Pristine,0
230823_01_Atacama_Soil_300uLDCM_100oC24h-001.csv,48029.44,9074.848,1.072,9074.848,1.088,9074.848,1.048,340,Atacama_Soil,1
230823_02_Rio_Tinto_Soil_300uLDCM_100oC24h.csv,336745.03,9488.32,1.24,9488.32,1.264,9488.32,1.216,340,Rio_Tinto_Soil,1
230823_02_Rio_Tinto_Soil_300uLDCM_100oC24h.csv,346643.14,9074.848,1.072,9074.848,1.096,9074.848,1.048,340,Rio_Tinto_Soil,1
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,172900.06,9074.848,1.072,9074.848,1.096,9074.848,1.048,340,Orgueil,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,257292.71,9484.816,1.256,9484.816,1.272,9488.32,1.232,340,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,166434.5,9074.848,1.08,9074.848,1.104,9074.848,1.056,340,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,32416.0,8966.224,1.104,8966.224,1.12,8966.224,1.08,354,Green_River_Shale_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,69575.5,9940.336,1.528,9940.336,1.552,9943.84,1.496,368,Green_River_Shale_Soil,1
230823_02_Rio_Tinto_Soil_300uLDCM_100oC24h.csv,56716.0,9484.816,1.24,9484.816,1.264,9488.32,1.208,368,Rio_Tinto_Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,514699.39,9943.84,1.536,9943.84,1.584,9947.344,1.488,368,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,222494.29,9828.208,1.512,9828.208,1.544,9831.712,1.472,383,Green_River_Shale_Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,407758.68,9200.992,1.048,9200.992,1.072,9204.496,1.024,383,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,597051.26,10108.528,1.624,10108.528,1.664,10112.032,1.584,397,Green_River_Shale_Soil,1
230823_02_Rio_Tinto_Soil_300uLDCM_100oC24h.csv,33036.200000000004,10087.504,1.48,10087.504,1.512,10091.008,1.448,396,Rio_Tinto_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,26660.25,8952.208,1.008,8952.208,1.032,8952.208,0.984,382,Green_River_Shale_Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,113022.0,9933.328,1.464,9933.328,1.504,9933.328,1.424,382,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,292442.44,10112.032,1.624,10108.528,1.664,10115.536,1.576,369,Green_River_Shale_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,146447.27000000002,6443.344,1.232,6443.344,1.248,6443.344,1.208,194,Green_River_Shale_Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,249254.14,7568.128,1.48,7568.128,1.512,7568.128,1.44,194,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,436632.53,7753.84,2.232,7753.84,2.272,7757.344,2.184,180,Green_River_Shale_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,459677.03000000014,7960.576,2.008,7960.576,2.048,7964.08,1.96,180,Green_River_Shale_Soil,1
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,177465.68000000002,6352.24,1.088,6352.24,1.112,6352.24,1.056,180,Jbilet_Winselwan,0
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,227733.83,6565.984,2.744,6565.984,2.8,6569.488,2.68,180,Orgueil,0
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,53184.0,6352.24,1.424,6352.24,1.448,6352.24,1.4,180,Orgueil,0
231003_01_AZ_400uLDCM_100oC24h.csv,187036.63,3850.384,1.04,3850.384,1.056,3853.888,1.016,95,AZ,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,2258873.17,7452.496,1.04,7452.496,1.048,7456.0,1.024,95,Green_River_Shale_Soil,1
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,204770.38,3853.888,1.336,3853.888,1.36,3857.392,1.304,95,Murchison_Pristine,0
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,223364.64,3521.008,1.24,3521.008,1.264,3521.008,1.216,81,Murchison_Pristine,0
230901_08_LEW85311_300uLDCM_100oC24h.csv,97668.85,5350.096,1.496,5350.096,1.528,5350.096,1.464,157,LEW85311,0
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,45716.0,5350.096,1.216,5350.096,1.24,5350.096,1.192,157,Jbilet_Winselwan,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,533933.77,7340.368,1.264,7340.368,1.288,7340.368,1.232,157,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,610479.63,7529.584,1.176,7529.584,1.208,7529.584,1.144,157,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,390165.32,9106.384,1.104,9106.384,1.12,9106.384,1.08,143,Green_River_Shale_Soil,1
230823_02_Rio_Tinto_Soil_300uLDCM_100oC24h.csv,43060.83,9758.128,1.48,9758.128,1.504,9758.128,1.448,143,Rio_Tinto_Soil,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,287219.33,6443.344,1.232,6443.344,1.248,6443.344,1.208,209,Green_River_Shale_Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,1456344.84,8055.184,1.48,8055.184,1.512,8058.688,1.44,209,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,1115666.6900000002,7936.048,1.384,7936.048,1.408,7939.552,1.352,209,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,396186.75,7203.712,1.488,7203.712,1.512,7203.712,1.464,221,Green_River_Shale_Soil,1
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,2675976.08,6488.896,1.296,6488.896,1.32,6488.896,1.264,221,Orgueil,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,40500.0,8149.792,1.392,8149.792,1.416,8149.792,1.368,235,Green_River_Shale_Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,175744.0,7957.072,1.904,7957.072,1.952,7957.072,1.856,235,Lignite,1
231003_01_AZ_400uLDCM_100oC24h.csv,59286.57,9011.776,1.152,9011.776,1.184,9015.28,1.112,231,AZ,0
230901_05_GSFC_soil_300uLDCM_100oC24h.csv,16050.68,9102.88,2.832,9102.88,2.848,9102.88,2.808,231,GSFC_soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,3064443.279999999,9943.84,1.544,9940.336,1.592,9947.344,1.496,231,Lignite,1
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,1150143.13,7753.84,2.24,7753.84,2.28,7757.344,2.192,225,Green_River_Shale_Soil,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,79764.47,6926.896,1.472,6926.896,1.496,6926.896,1.448,225,Lignite,1
230901_08_LEW85311_300uLDCM_100oC24h.csv,462896.23999999993,4022.08,1.008,4022.08,1.024,4022.08,0.984,91,LEW85311,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,878598.6100000001,5987.824,1.728,5987.824,1.76,5987.824,1.688,91,Green_River_Shale_Soil,1
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,1473340.67,6488.896,1.296,6488.896,1.32,6488.896,1.264,91,Orgueil,0
231003_04_Icerland_Soil_300uLDCM_100oC24h.csv,644636.6699999999,5490.256,1.008,5490.256,1.032,5490.256,0.984,147,Icerland_Soil,1
230901_08_LEW85311_300uLDCM_100oC24h.csv,5006274.52,5623.408,1.6,5623.408,1.632,5626.912,1.568,153,LEW85311,0
230901_06_ALH83100_300uLDCM_100oC24h.csv,95362.38,5630.416,1.656,5630.416,1.688,5633.92,1.616,153,ALH83100,0
230901_06_ALH83100_300uLDCM_100oC24h.csv,41691.09,6324.208,1.368,6324.208,1.392,6324.208,1.336,153,ALH83100,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,162630.40000000002,7904.512,1.312,7904.512,1.336,7904.512,1.288,153,Green_River_Shale_Soil,1
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,702192.42,6485.392,1.04,6485.392,1.064,6488.896,1.016,153,Jbilet_Winselwan,0
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,432157.61,6355.744,1.016,6355.744,1.04,6355.744,0.984,153,Jbilet_Winselwan,0
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,133679.34,5178.4,1.848,5178.4,1.872,5181.904,1.816,153,Orgueil,0
230830_02_Orgueil_300uLDCM_100oC24h-001.csv,150942.63999999998,6345.232,1.4,6345.232,1.424,6348.736,1.368,153,Orgueil,0
230830_03_Lignite_300uLDCM_100oC24h-001.csv,952792.54,6345.232,1.392,6345.232,1.416,6345.232,1.36,153,Lignite,1
230830_03_Lignite_300uLDCM_100oC24h-001.csv,1112863.4400000002,7627.696,1.24,7627.696,1.272,7627.696,1.208,153,Lignite,1
230901_08_LEW85311_300uLDCM_100oC24h.csv,361545.97,3521.008,2.496,3521.008,2.544,3524.512,2.448,46,LEW85311,0
230901_08_LEW85311_300uLDCM_100oC24h.csv,394816.18,4071.136,1.888,4071.136,1.944,4071.136,1.832,52,LEW85311,0
230823_07_Green_River_Shale_Soil_500uLDCM_100oC24h.csv,93641.85,5987.824,1.728,5987.824,1.768,5987.824,1.68,52,Green_River_Shale_Soil,1
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,49341.0,4074.64,1.432,4074.64,1.456,4074.64,1.4,52,Jbilet_Winselwan,0
231003_02_Jbilet_Winselwan_300uLDCM_100oC24h.csv,46436.32,6594.016,1.168,6594.016,1.192,6594.016,1.136,52,Jbilet_Winselwan,0
230823_03_Murchison_Pristine_2.0_300uLDCM_100oC24h-003.csv,295821.26,4074.64,2.176,4074.64,2.224,4074.64,2.12,52,Murchison_Pristine,0
